task,plugin,runs,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,average_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,average_calculated_cost_usd,average_saved_vs_baseline,average_saved_percent,average_saved_cost_vs_baseline,average_saved_cost_percent
routing-read-write-ledger,baseline,1,87987.00,13262.00,337408.00,0.00,439108.00,0.24575950,0.43993500,0.33155000,0.77148500,0.00,0.00,0.00000000,0.00
routing-read-write-ledger,tokenwarden,1,23878.00,3542.00,35584.00,0.00,63080.00,0.05231100,0.11939000,0.08855000,0.20794000,376028.00,85.63,0.56354500,73.05
routing-read-write-ledger,openslimedit,1,137927.00,8514.00,115968.00,0.00,262551.00,0.23386075,0.68963500,0.21285000,0.90248500,176557.00,40.21,-0.13100000,-16.98
routing-read-write-ledger,dcp,1,78317.00,5221.00,128640.00,0.00,212342.00,0.15025000,0.39158500,0.13052500,0.52211000,226766.00,51.64,0.24937500,32.32
routing-read-write-ledger,openrtk,1,140514.00,6709.00,257408.00,0.00,404820.00,0.26586200,0.70257000,0.16772500,0.87029500,34288.00,7.81,-0.09881000,-12.81
helper-read-write-ledger,baseline,1,96785.00,9182.00,514560.00,0.00,620659.00,0.28454875,0.48392500,0.22955000,0.71347500,0.00,0.00,0.00000000,0.00
helper-read-write-ledger,tokenwarden,1,18862.00,3485.00,60672.00,0.00,83104.00,0.05213300,0.09431000,0.08712500,0.18143500,537555.00,86.61,0.53204000,74.57
helper-read-write-ledger,openslimedit,1,52892.00,4672.00,86400.00,0.00,144155.00,0.10595125,0.26446000,0.11680000,0.38126000,476504.00,76.77,0.33221500,46.56
helper-read-write-ledger,dcp,1,105467.00,6179.00,155008.00,0.00,267464.00,0.19679450,0.52733500,0.15447500,0.68181000,353195.00,56.91,0.03166500,4.44
helper-read-write-ledger,openrtk,1,52517.00,4539.00,99072.00,0.00,156433.00,0.10857925,0.26258500,0.11347500,0.37606000,464226.00,74.80,0.33741500,47.29
core-api-read-write-ledger,baseline,1,94807.00,5147.00,236288.00,0.00,336330.00,0.19721200,0.47403500,0.12867500,0.60271000,0.00,0.00,0.00000000,0.00
core-api-read-write-ledger,tokenwarden,1,20110.00,4150.00,60672.00,0.00,85007.00,0.05614925,0.10055000,0.10375000,0.20430000,251323.00,74.73,0.39841000,66.10
core-api-read-write-ledger,openslimedit,1,87167.00,4244.00,219392.00,0.00,311516.00,0.18239550,0.43583500,0.10610000,0.54193500,24814.00,7.38,0.06077500,10.08
core-api-read-write-ledger,dcp,1,99906.00,8148.00,39680.00,0.00,148013.00,0.16640375,0.49953000,0.20370000,0.70323000,188317.00,55.99,-0.10052000,-16.68
core-api-read-write-ledger,openrtk,1,92125.00,5789.00,396416.00,0.00,494813.00,0.23778025,0.46062500,0.14472500,0.60535000,-158483.00,-47.12,-0.00264000,-0.44
