plugin,task,run,dry_run,prepare_only,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
baseline,routing-read-write-ledger,1,false,false,87987,13262,337408,0,439108,0.24575950000000002,0.43993500,0.33155000,0.77148500,0,0.00,0.00000000,0.00
tokenwarden,routing-read-write-ledger,1,false,false,23878,3542,35584,0,63080,0.052310999999999996,0.11939000,0.08855000,0.20794000,376028,85.63,0.56354500,73.05
openslimedit,routing-read-write-ledger,1,false,false,137927,8514,115968,0,262551,0.23386075,0.68963500,0.21285000,0.90248500,176557,40.21,-0.13100000,-16.98
dcp,routing-read-write-ledger,1,false,false,78317,5221,128640,0,212342,0.15025000000000002,0.39158500,0.13052500,0.52211000,226766,51.64,0.24937500,32.32
openrtk,routing-read-write-ledger,1,false,false,140514,6709,257408,0,404820,0.26586200000000004,0.70257000,0.16772500,0.87029500,34288,7.81,-0.09881000,-12.81
baseline,helper-read-write-ledger,1,false,false,96785,9182,514560,0,620659,0.28454875,0.48392500,0.22955000,0.71347500,0,0.00,0.00000000,0.00
tokenwarden,helper-read-write-ledger,1,false,false,18862,3485,60672,0,83104,0.052133,0.09431000,0.08712500,0.18143500,537555,86.61,0.53204000,74.57
openslimedit,helper-read-write-ledger,1,false,false,52892,4672,86400,0,144155,0.10595125000000001,0.26446000,0.11680000,0.38126000,476504,76.77,0.33221500,46.56
dcp,helper-read-write-ledger,1,false,false,105467,6179,155008,0,267464,0.19679449999999998,0.52733500,0.15447500,0.68181000,353195,56.91,0.03166500,4.44
openrtk,helper-read-write-ledger,1,false,false,52517,4539,99072,0,156433,0.10857924999999999,0.26258500,0.11347500,0.37606000,464226,74.80,0.33741500,47.29
baseline,core-api-read-write-ledger,1,false,false,94807,5147,236288,0,336330,0.197212,0.47403500,0.12867500,0.60271000,0,0.00,0.00000000,0.00
tokenwarden,core-api-read-write-ledger,1,false,false,20110,4150,60672,0,85007,0.05614925,0.10055000,0.10375000,0.20430000,251323,74.73,0.39841000,66.10
openslimedit,core-api-read-write-ledger,1,false,false,87167,4244,219392,0,311516,0.1823955,0.43583500,0.10610000,0.54193500,24814,7.38,0.06077500,10.08
dcp,core-api-read-write-ledger,1,false,false,99906,8148,39680,0,148013,0.16640375,0.49953000,0.20370000,0.70323000,188317,55.99,-0.10052000,-16.68
openrtk,core-api-read-write-ledger,1,false,false,92125,5789,396416,0,494813,0.23778025,0.46062500,0.14472500,0.60535000,-158483,-47.12,-0.00264000,-0.44
