task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
routing-read-write-ledger,baseline,3,0,0,453386,914607.67,7465.33,0.00,0.00,1227723.00,923289.67,745056.00,1253740.00,262389.00,1279757.00,0.00000000,4.57303833,0.18663333,6.34367000,4.75967167,3.86921750,6.44212500,1.39476500,6.54058000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
routing-read-write-ledger,tokenwarden,3,1,0,204304,266446.67,5619.67,0.00,0.00,183505.00,273793.33,180137.00,322305.50,176769.00,461106.00,0.00000000,1.33223333,0.14049167,1.01370500,1.47272500,0.99899000,1.71695000,0.98427500,2.42019500,1050954.00,649496.33,85.60,31.84,5.35939500,3.28694667,84.48,31.82
routing-read-write-ledger,openslimedit,3,0,0,355395,499692.33,4969.00,0.00,0.00,516417.00,505595.67,400381.50,616220.50,284346.00,716024.00,0.00000000,2.49846167,0.12422500,2.69244500,2.62268667,2.09630000,3.18395250,1.50015500,3.67546000,511699.00,417694.00,41.68,30.99,2.66821000,2.13698500,42.06,31.11
routing-read-write-ledger,dcp,3,0,0,346516,260935.33,6249.67,0.00,0.00,323680.00,267337.67,232043.00,330803.50,140406.00,337927.00,0.00000000,1.30467667,0.15624167,1.71211500,1.46091833,1.25449000,1.79294500,0.79686500,1.87377500,941830.00,655952.00,73.59,46.27,4.66680500,3.29875333,71.35,45.35
routing-read-write-ledger,openrtk,3,0,0,456517,579967.00,7948.00,0.00,0.00,601516.00,589145.33,430786.50,753689.50,260057.00,905863.00,0.00000000,2.89983500,0.19870000,3.15422000,3.09853500,2.31071000,3.91420250,1.46720000,4.67418500,373894.00,334144.33,29.22,-7.07,1.86639500,1.66113667,28.54,-6.91
helper-read-write-ledger,baseline,3,1,1,655540,2579488.67,18516.00,0.00,0.00,1862368.00,2603673.67,1102636.00,3734058.50,342904.00,5605749.00,0.00000000,12.89744333,0.46290000,9.49047500,13.36034333,5.64611250,19.13964000,1.80175000,28.78880500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
helper-read-write-ledger,tokenwarden,3,0,0,234021,351574.67,5437.00,0.00,0.00,212141.00,357836.67,210466.50,432359.00,208792.00,652577.00,0.00000000,1.75787333,0.13592500,1.15415000,1.89379833,1.14698500,2.27078750,1.13982000,3.38742500,1209791.00,2245837.00,64.96,66.76,6.10305000,11.46654500,64.31,65.68
helper-read-write-ledger,openslimedit,3,0,0,319283,616224.00,6354.33,0.00,0.00,673961.00,624448.33,584635.00,689018.00,495309.00,704075.00,0.00000000,3.08112000,0.15885833,3.48176000,3.23997833,3.02297000,3.57787750,2.56418000,3.67399500,1367059.00,1979225.33,73.40,21.43,6.92629500,10.12036500,72.98,22.33
helper-read-write-ledger,dcp,3,0,0,332564,630621.00,7408.67,0.00,0.00,659830.00,639047.33,383802.50,904683.50,107775.00,1149537.00,0.00000000,3.15310500,0.18521667,3.41749000,3.33832167,2.01861250,4.69761500,0.61973500,5.97774000,712831.00,1964626.33,68.57,65.02,3.51273500,10.02202167,65.60,63.58
helper-read-write-ledger,openrtk,3,0,0,278267,330000.67,5185.33,0.00,0.00,328997.00,336670.33,317690.00,351814.00,306383.00,374631.00,0.00000000,1.65000333,0.12963333,1.73209000,1.77963667,1.69277000,1.84273000,1.65345000,1.95337000,1555985.00,2267003.33,83.55,60.31,7.83702500,11.58070667,82.58,59.89
