plugin,task,run,dry_run,prepare_only,failed,timed_out,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
baseline,routing-read-write-ledger,1,false,false,false,false,453386,1271321,7359,0,0,1279757,0,6.35660500,0.18397500,6.54058000,0,0.00,0.00000000,0.00
tokenwarden,routing-read-write-ledger,1,false,false,true,false,204304,177756,4997,0,0,183505,0,0.88878000,0.12492500,1.01370500,1096252,85.66,5.52687500,84.50
openslimedit,routing-read-write-ledger,1,false,false,false,false,355395,510484,5601,0,0,516417,0,2.55242000,0.14002500,2.69244500,763340,59.65,3.84813500,58.83
dcp,routing-read-write-ledger,1,false,false,false,false,509863,328460,9259,0,0,337927,0,1.64230000,0.23147500,1.87377500,941830,73.59,4.66680500,71.35
openrtk,routing-read-write-ledger,1,false,false,false,false,456517,897332,7501,0,0,905863,0,4.48666000,0.18752500,4.67418500,373894,29.22,1.86639500,28.54
baseline,helper-read-write-ledger,1,false,false,true,true,1804313,5554856,40581,0,0,5605749,0,27.77428000,1.01452500,28.78880500,0,0.00,0.00000000,0.00
tokenwarden,helper-read-write-ledger,1,false,false,false,false,206824,207085,4749,0,0,212141,0,1.03542500,0.11872500,1.15415000,5393608,96.22,27.63465500,95.99
openslimedit,helper-read-write-ledger,1,false,false,false,false,469866,692519,8456,0,0,704075,0,3.46259500,0.21140000,3.67399500,4901674,87.44,25.11481000,87.24
dcp,helper-read-write-ledger,1,false,false,false,false,332564,653453,6009,0,0,659830,0,3.26726500,0.15022500,3.41749000,4945919,88.23,25.37131500,88.13
openrtk,helper-read-write-ledger,1,false,false,false,false,278267,369184,4298,0,0,374631,0,1.84592000,0.10745000,1.95337000,5231118,93.32,26.83543500,93.21
baseline,core-api-read-write-ledger,1,false,false,false,false,435121,544623,4339,0,0,549722,0,2.72311500,0.10847500,2.83159000,0,0.00,0.00000000,0.00
tokenwarden,core-api-read-write-ledger,1,false,false,false,false,163577,98869,4256,0,0,103680,0,0.49434500,0.10640000,0.60074500,446042,81.14,2.23084500,78.78
openslimedit,core-api-read-write-ledger,1,false,false,false,false,459647,696572,6038,0,0,703346,0,3.48286000,0.15095000,3.63381000,-153624,-27.95,-0.80222000,-28.33
dcp,core-api-read-write-ledger,1,false,false,false,false,381798,323348,3989,0,0,327544,0,1.61674000,0.09972500,1.71646500,222178,40.42,1.11512500,39.38
openrtk,core-api-read-write-ledger,1,false,false,true,false,611132,1012118,9309,0,0,1022270,0,5.06059000,0.23272500,5.29331500,-472548,-85.96,-2.46172500,-86.94
baseline,react-state-bug-fix,1,false,false,false,false,33050,29211,647,0,0,30045,0,0.14605500,0.01617500,0.16223000,0,0.00,0.00000000,0.00
tokenwarden,react-state-bug-fix,1,false,false,false,false,59989,71281,1123,0,0,72746,0,0.35640500,0.02807500,0.38448000,-42701,-142.12,-0.22225000,-137.00
openslimedit,react-state-bug-fix,1,false,false,false,false,48831,21217,667,0,0,22502,0,0.10608500,0.01667500,0.12276000,7543,25.11,0.03947000,24.33
dcp,react-state-bug-fix,1,false,false,false,false,49726,45550,723,0,0,46452,0,0.22775000,0.01807500,0.24582500,-16407,-54.61,-0.08359500,-51.53
openrtk,react-state-bug-fix,1,false,false,false,false,33077,29177,519,0,0,29824,0,0.14588500,0.01297500,0.15886000,221,0.74,0.00337000,2.08
baseline,next-api-route-fix,1,false,false,false,false,32811,29274,746,0,0,30163,0,0.14637000,0.01865000,0.16502000,0,0.00,0.00000000,0.00
tokenwarden,next-api-route-fix,1,false,false,false,false,120384,210227,3383,0,0,214193,0,1.05113500,0.08457500,1.13571000,-184030,-610.12,-0.97069000,-588.23
openslimedit,next-api-route-fix,1,false,false,false,false,52498,34325,1045,0,0,35552,0,0.17162500,0.02612500,0.19775000,-5389,-17.87,-0.03273000,-19.83
dcp,next-api-route-fix,1,false,false,false,false,59232,57561,1241,0,0,59032,0,0.28780500,0.03102500,0.31883000,-28869,-95.71,-0.15381000,-93.21
openrtk,next-api-route-fix,1,false,false,false,false,35470,29222,656,0,0,29975,0,0.14611000,0.01640000,0.16251000,188,0.62,0.00251000,1.52
baseline,cli-flag-parsing-fix,1,false,false,false,false,49610,57506,1232,0,0,58966,0,0.28753000,0.03080000,0.31833000,0,0.00,0.00000000,0.00
tokenwarden,cli-flag-parsing-fix,1,false,false,false,false,48854,51105,1044,0,0,52320,0,0.25552500,0.02610000,0.28162500,6646,11.27,0.03670500,11.53
openslimedit,cli-flag-parsing-fix,1,false,false,false,false,66422,53844,1267,0,0,55746,0,0.26922000,0.03167500,0.30089500,3220,5.46,0.01743500,5.48
dcp,cli-flag-parsing-fix,1,false,false,false,false,107098,106941,2695,0,0,109959,0,0.53470500,0.06737500,0.60208000,-50993,-86.48,-0.28375000,-89.14
openrtk,cli-flag-parsing-fix,1,false,false,true,false,133730,29707,665,0,0,34726,0,0.14853500,0.01662500,0.16516000,24240,41.11,0.15317000,48.12
baseline,large-test-log-debug,1,false,false,false,false,91820,97439,524,0,0,98231,0,0.48719500,0.01310000,0.50029500,0,0.00,0.00000000,0.00
tokenwarden,large-test-log-debug,1,false,false,false,false,40126,35584,599,0,0,36300,0,0.17792000,0.01497500,0.19289500,61931,63.05,0.30740000,61.44
openslimedit,large-test-log-debug,1,false,false,false,false,41529,22807,442,0,0,23367,0,0.11403500,0.01105000,0.12508500,74864,76.21,0.37521000,75.00
dcp,large-test-log-debug,1,false,false,false,false,44215,45123,578,0,0,45815,0,0.22561500,0.01445000,0.24006500,52416,53.36,0.26023000,52.02
openrtk,large-test-log-debug,1,false,false,false,false,43692,45881,688,0,0,46800,0,0.22940500,0.01720000,0.24660500,51431,52.36,0.25369000,50.71
baseline,typecheck-flood-debug,1,false,false,true,false,33181,38176,680,0,0,39003,0,0.19088000,0.01700000,0.20788000,0,0.00,0.00000000,0.00
tokenwarden,typecheck-flood-debug,1,false,false,true,false,43959,51592,840,0,0,52629,0,0.25796000,0.02100000,0.27896000,-13626,-34.94,-0.07108000,-34.19
openslimedit,typecheck-flood-debug,1,false,false,true,false,42634,27305,794,0,0,28240,0,0.13652500,0.01985000,0.15637500,10763,27.60,0.05150500,24.78
dcp,typecheck-flood-debug,1,false,false,true,false,46293,44420,719,0,0,45284,0,0.22210000,0.01797500,0.24007500,-6281,-16.10,-0.03219500,-15.49
openrtk,typecheck-flood-debug,1,false,false,true,false,39705,38365,749,0,0,39260,0,0.19182500,0.01872500,0.21055000,-257,-0.66,-0.00267000,-1.28
baseline,build-failure-debug,1,false,false,false,false,27837,35825,532,0,0,36503,0,0.17912500,0.01330000,0.19242500,0,0.00,0.00000000,0.00
tokenwarden,build-failure-debug,1,false,false,false,false,31419,30764,452,0,0,31311,0,0.15382000,0.01130000,0.16512000,5192,14.22,0.02730500,14.19
openslimedit,build-failure-debug,1,false,false,false,false,40583,25124,595,0,0,25983,0,0.12562000,0.01487500,0.14049500,10520,28.82,0.05193000,26.99
dcp,build-failure-debug,1,false,false,false,false,38491,34083,439,0,0,34635,0,0.17041500,0.01097500,0.18139000,1868,5.12,0.01103500,5.73
openrtk,build-failure-debug,1,false,false,false,false,35201,35902,585,0,0,36636,0,0.17951000,0.01462500,0.19413500,-133,-0.36,-0.00171000,-0.89
baseline,multi-file-rename-migration,1,false,false,false,false,38534,36878,880,0,0,37994,0,0.18439000,0.02200000,0.20639000,0,0.00,0.00000000,0.00
tokenwarden,multi-file-rename-migration,1,false,false,false,false,45793,40388,873,0,0,41415,0,0.20194000,0.02182500,0.22376500,-3421,-9.00,-0.01737500,-8.42
openslimedit,multi-file-rename-migration,1,false,false,false,false,51471,37617,999,0,0,38982,0,0.18808500,0.02497500,0.21306000,-988,-2.60,-0.00667000,-3.23
dcp,multi-file-rename-migration,1,false,false,false,false,46560,53300,844,0,0,54295,0,0.26650000,0.02110000,0.28760000,-16301,-42.90,-0.08121000,-39.35
openrtk,multi-file-rename-migration,1,false,false,false,false,63369,74493,1423,0,0,76306,0,0.37246500,0.03557500,0.40804000,-38312,-100.84,-0.20165000,-97.70
baseline,feature-add-small,1,false,false,false,false,28788,28180,616,0,0,28903,0,0.14090000,0.01540000,0.15630000,0,0.00,0.00000000,0.00
tokenwarden,feature-add-small,1,false,false,false,false,54384,76390,1184,0,0,77842,0,0.38195000,0.02960000,0.41155000,-48939,-169.32,-0.25525000,-163.31
openslimedit,feature-add-small,1,false,false,false,false,36632,19293,474,0,0,20032,0,0.09646500,0.01185000,0.10831500,8871,30.69,0.04798500,30.70
dcp,feature-add-small,1,false,false,false,false,71830,87513,1369,0,0,89112,0,0.43756500,0.03422500,0.47179000,-60209,-208.31,-0.31549000,-201.85
openrtk,feature-add-small,1,false,false,false,false,36869,28380,670,0,0,29175,0,0.14190000,0.01675000,0.15865000,-272,-0.94,-0.00235000,-1.50
baseline,refactor-no-behavior-change,1,false,false,false,false,30245,28446,652,0,0,29234,0,0.14223000,0.01630000,0.15853000,0,0.00,0.00000000,0.00
tokenwarden,refactor-no-behavior-change,1,false,false,true,false,56661,67481,1167,0,0,69095,0,0.33740500,0.02917500,0.36658000,-39861,-136.35,-0.20805000,-131.24
openslimedit,refactor-no-behavior-change,1,false,false,false,false,35841,24527,586,0,0,25245,0,0.12263500,0.01465000,0.13728500,3989,13.65,0.02124500,13.40
dcp,refactor-no-behavior-change,1,false,false,false,false,38247,34624,562,0,0,35299,0,0.17312000,0.01405000,0.18717000,-6065,-20.75,-0.02864000,-18.07
openrtk,refactor-no-behavior-change,1,false,false,false,false,32392,28341,554,0,0,29004,0,0.14170500,0.01385000,0.15555500,230,0.79,0.00297500,1.88
baseline,code-review-diagnosis,1,false,false,true,false,174264,282379,4631,0,0,288464,0,1.41189500,0.11577500,1.52767000,0,0.00,0.00000000,0.00
tokenwarden,code-review-diagnosis,1,false,false,true,false,55664,31741,1295,0,0,33364,0,0.15870500,0.03237500,0.19108000,255100,88.43,1.33659000,87.49
openslimedit,code-review-diagnosis,1,false,false,true,false,51602,19614,1094,0,0,21074,0,0.09807000,0.02735000,0.12542000,267390,92.69,1.40225000,91.79
dcp,code-review-diagnosis,1,false,false,true,false,85193,95122,2154,0,0,97561,0,0.47561000,0.05385000,0.52946000,190903,66.18,0.99821000,65.34
openrtk,code-review-diagnosis,1,false,false,true,false,157355,265004,2655,0,0,268149,0,1.32502000,0.06637500,1.39139500,20315,7.04,0.13627500,8.92
baseline,docs-from-code,1,false,false,false,false,61037,111867,1511,0,0,113690,0,0.55933500,0.03777500,0.59711000,0,0.00,0.00000000,0.00
tokenwarden,docs-from-code,1,false,false,false,false,37051,22833,702,0,0,23638,0,0.11416500,0.01755000,0.13171500,90052,79.21,0.46539500,77.94
openslimedit,docs-from-code,1,false,false,false,false,46493,25048,804,0,0,26194,0,0.12524000,0.02010000,0.14534000,87496,76.96,0.45177000,75.66
dcp,docs-from-code,1,false,false,false,false,54180,35098,849,0,0,36036,0,0.17549000,0.02122500,0.19671500,77654,68.30,0.40039500,67.06
openrtk,docs-from-code,1,false,false,false,false,37416,20663,853,0,0,21588,0,0.10331500,0.02132500,0.12464000,92102,81.01,0.47247000,79.13
baseline,routing-read-write-ledger,2,false,false,false,false,639238,1214749,10797,0,0,1227723,0,6.07374500,0.26992500,6.34367000,0,0.00,0.00000000,0.00
tokenwarden,routing-read-write-ledger,2,false,false,false,false,193929,170780,5215,0,0,176769,0,0.85390000,0.13037500,0.98427500,1050954,85.60,5.35939500,84.48
openslimedit,routing-read-write-ledger,2,false,false,false,false,408864,708812,5256,0,0,716024,0,3.54406000,0.13140000,3.67546000,511699,41.68,2.66821000,42.06
dcp,routing-read-write-ledger,2,false,false,false,false,327910,135563,4762,0,0,140406,0,0.67781500,0.11905000,0.79686500,1087317,88.56,5.54680500,87.44
openrtk,routing-read-write-ledger,2,false,false,false,false,435793,251265,8435,0,0,260057,0,1.25632500,0.21087500,1.46720000,967666,78.82,4.87647000,76.87
baseline,helper-read-write-ledger,2,false,false,false,false,655540,1845545,10510,0,0,1862368,0,9.22772500,0.26275000,9.49047500,0,0.00,0.00000000,0.00
tokenwarden,helper-read-write-ledger,2,false,false,false,false,271244,645655,6366,0,0,652577,0,3.22827500,0.15915000,3.38742500,1209791,64.96,6.10305000,64.31
openslimedit,helper-read-write-ledger,2,false,false,false,false,257732,489166,4734,0,0,495309,0,2.44583000,0.11835000,2.56418000,1367059,73.40,6.92629500,72.98
dcp,helper-read-write-ledger,2,false,false,false,false,604403,1134793,12151,0,0,1149537,0,5.67396500,0.30377500,5.97774000,712831,38.28,3.51273500,37.01
openrtk,helper-read-write-ledger,2,false,false,false,false,377106,297375,6663,0,0,306383,0,1.48687500,0.16657500,1.65345000,1555985,83.55,7.83702500,82.58
baseline,core-api-read-write-ledger,2,false,false,false,false,343186,463516,6297,0,0,470206,0,2.31758000,0.15742500,2.47500500,0,0.00,0.00000000,0.00
tokenwarden,core-api-read-write-ledger,2,false,false,true,false,227172,264685,5917,0,0,271254,0,1.32342500,0.14792500,1.47135000,198952,42.31,1.00365500,40.55
openslimedit,core-api-read-write-ledger,2,false,false,false,false,406982,411228,4928,0,0,416711,0,2.05614000,0.12320000,2.17934000,53495,11.38,0.29566500,11.95
dcp,core-api-read-write-ledger,2,false,false,false,false,392396,240267,4536,0,0,244917,0,1.20133500,0.11340000,1.31473500,225289,47.91,1.16027000,46.88
openrtk,core-api-read-write-ledger,2,false,false,false,false,390815,365842,4777,0,0,370888,0,1.82921000,0.11942500,1.94863500,99318,21.12,0.52637000,21.27
baseline,react-state-bug-fix,2,false,false,false,false,43841,46925,867,0,0,48181,0,0.23462500,0.02167500,0.25630000,0,0.00,0.00000000,0.00
