platform,task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
claude-code,routing-read-write-ledger,baseline,3,1,0,433932,178433.67,4687.33,132620.33,0.00,311378.00,315741.33,275579.50,353721.50,239781.00,396065.00,1.07566183,0.89216833,0.11718333,1.04974500,1.00935167,0.89813500,1.14076500,0.74652500,1.23178500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,routing-read-write-ledger,tokenwarden,3,1,0,316139,181544.67,5797.33,156757.33,0.00,368753.00,344099.33,323721.00,376804.50,278689.00,384856.00,1.13103533,0.90772333,0.14493333,1.10038500,1.05265667,0.99905000,1.13012750,0.89771500,1.15987000,-38908.00,-28358.00,-16.23,-10.61,-0.05064000,-0.04330500,-4.82,-6.41
claude-code,routing-read-write-ledger,context-mode,3,0,0,539332,221818.33,8312.67,165877.00,0.00,389575.00,396008.00,354285.00,434514.50,318995.00,479454.00,1.39984683,1.10909167,0.20781667,1.29843000,1.31690833,1.17867250,1.44590500,1.05891500,1.59338000,-7617.00,-80266.67,-2.45,-33.59,-0.06664500,-0.30755667,-5.41,-39.91
claude-code,routing-read-write-ledger,rtk,3,0,0,372339,227006.33,5138.00,177614.33,0.00,394545.00,409758.67,388240.50,423670.00,381936.00,452795.00,1.35228883,1.13503167,0.12845000,1.23408000,1.26348167,1.21281750,1.29944500,1.19155500,1.36481000,-83167.00,-94017.33,-26.71,-33.44,-0.18433500,-0.25413000,-17.56,-29.32
claude-code,routing-read-write-ledger,caveman,3,0,0,344803,236253.67,4522.00,186262.67,0.00,445604.00,427038.33,378523.50,484836.00,311443.00,524068.00,1.38744967,1.18126833,0.11305000,1.34005000,1.29431833,1.17170750,1.43979500,1.00336500,1.53954000,-128003.00,-111297.00,-32.32,-39.39,-0.30775500,-0.28496667,-24.98,-33.36
claude-code,helper-read-write-ledger,baseline,3,1,0,351931,172343.67,5878.67,137175.00,0.00,230265.00,315397.33,190535.50,397693.00,150806.00,565121.00,1.07727250,0.86171833,0.14696667,0.81015000,1.00868500,0.69529000,1.22281250,0.58043000,1.63547500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,helper-read-write-ledger,tokenwarden,3,1,0,339841,232670.67,5934.33,198419.67,0.00,495455.00,437024.67,326340.00,576924.50,157225.00,658394.00,1.41092150,1.16335333,0.14835833,1.44678000,1.31171167,0.99497500,1.69598250,0.54317000,1.94518500,69666.00,-121627.33,12.33,-97.51,0.18869500,-0.30302667,11.54,-63.55
claude-code,helper-read-write-ledger,context-mode,3,0,0,326149,228076.33,5704.67,200348.67,0.00,519369.00,434129.67,348497.50,562381.50,177626.00,605394.00,1.38317267,1.14038167,0.14261667,1.58929000,1.28299833,1.06904500,1.65009750,0.54880000,1.71090500,45752.00,-118732.33,8.10,-90.16,0.04618500,-0.27431333,2.82,-53.23
claude-code,helper-read-write-ledger,rtk,3,1,0,331192,359638.67,5295.67,322739.67,0.00,558841.00,687674.00,500474.00,810457.50,442107.00,1062074.00,2.09195483,1.79819333,0.13239167,1.60421500,1.93058500,1.45976750,2.23821750,1.31532000,2.87222000,-291301.00,-372276.67,-193.16,-184.43,-0.73489000,-0.92190000,-126.61,-126.41
claude-code,helper-read-write-ledger,caveman,3,1,0,293710,147968.00,4604.33,111761.00,0.00,251167.00,264333.33,226765.00,295318.50,202363.00,339470.00,0.91082883,0.73984000,0.11510833,0.82847500,0.85494833,0.76258250,0.93407750,0.69669000,1.03968000,27902.00,51064.00,12.12,-19.14,0.11346000,0.15373667,14.00,-5.26
