platform,plugin,task,run,dry_run,prepare_only,failed,timed_out,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
claude-code,baseline,routing-read-write-ledger,1,false,false,false,false,385754,192664,5443,141599,0,339706,1.1701945,0.96332000,0.13607500,1.09939500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,routing-read-write-ledger,1,false,false,false,false,281198,199290,5382,176945,0,381617,1.2194724999999997,0.99645000,0.13455000,1.13100000,-41911,-12.34,-0.03160500,-2.87
claude-code,context-mode,routing-read-write-ledger,1,false,false,false,false,472720,260582,5675,200511,0,466768,1.5450404999999998,1.30291000,0.14187500,1.44478500,-127062,-37.40,-0.34539000,-31.42
claude-code,rtk,routing-read-write-ledger,1,false,false,false,false,449404,285856,6611,233890,0,526357,1.7115,1.42928000,0.16527500,1.59455500,-186651,-54.94,-0.49516000,-45.04
claude-code,caveman,routing-read-write-ledger,1,false,false,false,false,324555,231335,4133,181448,0,416916,1.350724,1.15667500,0.10332500,1.26000000,-77210,-22.73,-0.16060500,-14.61
claude-code,baseline,helper-read-write-ledger,1,false,false,false,false,324822,127354,5502,92640,0,225496,0.8206400000000001,0.63677000,0.13755000,0.77432000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,helper-read-write-ledger,1,false,false,false,false,251088,80582,5450,67864,0,153896,0.573092,0.40291000,0.13625000,0.53916000,71600,31.75,0.23516000,30.37
claude-code,context-mode,helper-read-write-ledger,1,false,false,false,false,382738,238461,5053,187713,0,431227,1.4124865,1.19230500,0.12632500,1.31863000,-205731,-91.23,-0.54431000,-70.30
claude-code,rtk,helper-read-write-ledger,1,false,false,false,false,299539,124811,4830,89769,0,219410,0.7896894999999999,0.62405500,0.12075000,0.74480500,6086,2.70,0.02951500,3.81
claude-code,caveman,helper-read-write-ledger,1,false,false,false,false,329726,181669,5250,145909,0,332828,1.1125495,0.90834500,0.13125000,1.03959500,-107332,-47.60,-0.26527500,-34.26
