platform,plugin,task,run,dry_run,prepare_only,failed,timed_out,metrics_included,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
claude-code,baseline,routing-read-write-ledger,1,false,false,false,false,true,329716,281654,4227,232695,0,518576,1.6302925,1.40827000,0.10567500,1.51394500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,routing-read-write-ledger,1,false,false,false,false,true,171287,75361,3777,67153,0,146291,0.5048065,0.37680500,0.09442500,0.47123000,372285,71.79,1.04271500,68.87
claude-code,context-mode,routing-read-write-ledger,1,false,false,false,false,true,381966,272635,4693,215340,0,492668,1.58817,1.36317500,0.11732500,1.48050000,25908,5.00,0.03344500,2.21
claude-code,rtk,routing-read-write-ledger,1,false,false,true,false,false,15,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,routing-read-write-ledger,1,false,false,false,false,true,293767,274999,3457,225210,0,503666,1.5740249999999998,1.37499500,0.08642500,1.46142000,14910,2.88,0.05252500,3.47
claude-code,baseline,helper-read-write-ledger,1,false,false,false,false,true,280988,151117,4537,119074,0,274728,0.9285469999999999,0.75558500,0.11342500,0.86901000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,helper-read-write-ledger,1,false,false,false,false,true,275501,130245,5401,108649,0,244295,0.8405745,0.65122500,0.13502500,0.78625000,30433,11.08,0.08276000,9.52
claude-code,context-mode,helper-read-write-ledger,1,false,false,false,false,true,287739,148303,4061,108609,0,260973,0.8973445000000001,0.74151500,0.10152500,0.84304000,13755,5.01,0.02597000,2.99
claude-code,rtk,helper-read-write-ledger,1,false,false,true,false,false,15,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,helper-read-write-ledger,1,false,false,false,false,true,254567,193137,3677,157240,0,354054,1.13623,0.96568500,0.09192500,1.05761000,-79326,-28.87,-0.18860000,-21.70
claude-code,baseline,core-api-read-write-ledger,1,false,false,false,false,true,506254,275468,4874,192539,0,472881,1.5954595,1.37734000,0.12185000,1.49919000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,core-api-read-write-ledger,1,false,false,false,false,true,283246,85078,5565,63527,0,154170,0.5962784999999999,0.42539000,0.13912500,0.56451500,318711,67.40,0.93467500,62.35
claude-code,context-mode,core-api-read-write-ledger,1,false,false,false,false,true,523457,108014,1078,102656,0,211748,1.209279,0.54007000,0.02695000,0.56702000,261133,55.22,0.93217000,62.18
claude-code,rtk,core-api-read-write-ledger,1,false,false,true,false,false,16,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,core-api-read-write-ledger,1,false,false,true,false,true,442176,185502,3585,101621,0,290708,1.0679455,0.92751000,0.08962500,1.01713500,182173,38.52,0.48205500,32.15
claude-code,baseline,react-state-bug-fix,1,false,false,false,false,true,48137,20957,1037,17721,0,39715,0.13957050000000001,0.10478500,0.02592500,0.13071000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,react-state-bug-fix,1,false,false,false,false,true,43297,23003,841,18853,0,42697,0.1454665,0.11501500,0.02102500,0.13604000,-2982,-7.51,-0.00533000,-4.08
claude-code,context-mode,react-state-bug-fix,1,false,false,false,false,true,50923,65277,886,59525,0,125688,0.37829749999999995,0.32638500,0.02215000,0.34853500,-85973,-216.47,-0.21782500,-166.65
claude-code,rtk,react-state-bug-fix,1,false,false,true,false,false,14,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,react-state-bug-fix,1,false,false,false,false,true,31354,29712,538,25618,0,55868,0.174819,0.14856000,0.01345000,0.16201000,-16153,-40.67,-0.03130000,-23.95
claude-code,baseline,next-api-route-fix,1,false,false,false,false,true,56292,34144,1178,29902,0,65224,0.215121,0.17072000,0.02945000,0.20017000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,next-api-route-fix,1,false,false,false,false,true,54664,23362,1144,19215,0,43721,0.1550175,0.11681000,0.02860000,0.14541000,21503,32.97,0.05476000,27.36
